arbre_plus_proche,sondage_N,depth_sup,Family,Genus,species,Xutm,Yutm
140672,14.9,55,Peraceae,Pogonophora,schomburgkiana,285421.7260689,581560.73835
140838,14.4,73,Fabaceae,Bocoa,prouacensis,285434.102125125,581530.83595
142097,14.2,70,Meliaceae,Carapa,surinamensis,285471.880797125,581503.36705
142580,14.8,85,Clusiaceae,Symphonia,"sp,1",285456.0913184,581569.9136
144259,14.7,93,Peraceae,Pogonophora,schomburgkiana,285485.7421145,581578.419
153634,15.6,84,Sapotaceae,Pouteria,bangii,285592.9912222,581575.0738
191464,19.2,78,Rubiaceae,Duroia,aquatica,285502.000674,581410.1175
191868,19.8,75,Vochysiaceae,Qualea,rosea,285485.4655275,581473.9318
193468,19.1,51,Clusiaceae,Tovomita,obovata,285535.089592,581421.646
193468,19.1,51,Clusiaceae,Tovomita,obovata,285535.089592,581421.646
193668,19.6,62,Rubiaceae,Duroia,genipoides,285524.3897194,581452.9834
200797,20.9,40,Myristicaceae,Iryanthera,hostmannii,285549.49909945,581494.5094
201381,20.3,60,Sapotaceae,Pouteria,singularis,285565.376524175,581428.25995
203215,20.8,70,Annonaceae,Oxandra,asbeckii,285579.35406656,581505.0384
203517,20.2,47,Lecythidaceae,Lecythis,persistens,285601.305757,581438.855925
204713,20.6,46,Vochysiaceae,Qualea,rosea,285626.1564335,581472.4059
204918,20.7,42,Melastomataceae,Mouriri,sagotiana,285614.36935775,581514.3943
