TreeID,Family,Genus,species,DBH,Xutm,Yutm
140001,Myristicaceae,Iryanthera,sagotiana,1.7,285431.48225975,581477.5335
140002,Sapotaceae,Pouteria,jariensis,2,285433.19999525,581477.73085
140003,Sapindaceae,Talisia,guianensis,1,285433.420844575,581477.69195
140004,Sapindaceae,Cupania,rubiginosa,2.9,285433.362848925,581477.88395
140006,Annonaceae,Oxandra,asbeckii,3,285434.77055255,581479.45385
140007,Clusiaceae,Tovomita,"sp,2 CAY-ATDN",1.1,285435.740936875,581479.01025
140008,Myristicaceae,Virola,michelii,1,285435.8948546,581478.8468
140009,Lecythidaceae,Lecythis,persistens,7.7,285434.299855625,581479.62765
140010,Myristicaceae,Iryanthera,hostmannii,1.1,285431.96421125,581481.12975
140011,Clusiaceae,Tovomita,macrophylla,1.2,285431.68316505,581482.4063
140012,Chrysobalanaceae,Hirtella,bicornis,1,285429.9051666,581483.4466
140014,Clusiaceae,Tovomita,"sp,11 CAY-ATDN",1.6,285429.583981875,581485.54825
140015,Vochysiaceae,Qualea,rosea,1.8,285430.409435425,581485.58465
140016,Vochysiaceae,Qualea,rosea,2.7,285430.5901775,581486.37085
140017,Sapindaceae,Cupania,rubiginosa,6,285431.025147125,581484.93085
140018,Fabaceae,Dicorynia,guianensis,1.7,285431.37987495,581485.14105
140019,Sapindaceae,Talisia,sylvatica,3.3,285432.14732655,581485.36945
140021,Vochysiaceae,Qualea,rosea,1.4,285432.446237,581484.726
140023,Clusiaceae,Tovomita,"sp,2 CAY-ATDN",1.8,285433.45026275,581486.59425
140024,Chrysobalanaceae,Hirtella,bicornis,7.4,285433.1914627,581486.4126
140025,Clusiaceae,Tovomita,"sp,2 CAY-ATDN",2.8,285434.019071275,581485.40335
140026,Myristicaceae,Iryanthera,sagotiana,2.2,285434.68164355,581485.28665
140027,Sapotaceae,Pouteria,speciosa,1.4,285434.4586272,581486.3712
140028,Metteniusaceae,Poraqueiba,guianensis,1,285433.7849455,581487.217
140029,Fabaceae,Inga,gracilifolia,0.8,285435.3309606,581486.9447
140030,Fabaceae,Inga,nouragensis,1.9,285435.68569405,581487.1549
140031,Clusiaceae,Garcinia,madruno,3.3,285436.638204,581486.0782
140032,Olacaceae,Minquartia,guianensis,3,285437.2538752,581485.4244
140033,Salicaceae,Casearia,"sp,1 CAY-ATDN",1.5,285435.460192425,581484.78595
140034,Meliaceae,Guarea,costata,1,285435.2414976,581483.7792
140035,Myristicaceae,Iryanthera,hostmannii,2,285435.9151652,581482.9334
140036,Rubiaceae,Duroia,longiflora,2.9,285437.7177696,581483.8884
140037,Violaceae,Leonia,glycycarpa,2.5,285437.55490475,581483.7353
140038,Vochysiaceae,Qualea,rosea,1.5,285437.1243,581483.084
140039,Lecythidaceae,Lecythis,persistens,4.4,285437.98765875,581483.34095
140040,Chrysobalanaceae,Couepia,guianensis,0.9,285438.326631,581481.8724
140041,Chrysobalanaceae,Licania,alba,0.9,285438.49164465,581480.97985
140042,Annonaceae,Oxandra,asbeckii,8.4,285438.2618512,581480.7022
140043,Myristicaceae,Iryanthera,hostmannii,0.9,285438.252905725,581480.38565
