TreeID,Family,Genus,species,DBH,Xutm,Yutm
"153388",Chrysobalanaceae,Licania,canescens,1.2,285601.8246309,581531.7878
"153389",Annonaceae,Oxandra,asbeckii,7.4,285601.45112,581530.9445
"153392",Annonaceae,Oxandra,asbeckii,1.2,285601.309428625,581528.28755
"153393",Sapotaceae,Pouteria,fimbriata,2.4,285600.8586648,581528.0488
"153397",Annonaceae,Oxandra,asbeckii,11.30000096,285601.2712355,581528.067
"153398",Vochysiaceae,Qualea,rosea,61.43380803,285600.6481632,581527.3586
"153399",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",4.5,285604.6575085,581528.97025
"153400",Annonaceae,Oxandra,asbeckii,6,285605.280599325,581529.67865
"153401",Lecythidaceae,Lecythis,persistens,5,285604.24407915,581529.9977
"153402",Clusiaceae,Tovomita,obovata,2.3,285603.8883762,581530.83315
"153403",Lauraceae,Licaria,debilis,2.2,285603.438467875,581529.54875
"153404",Sapotaceae,Pouteria,bangii,1.9,285604.9622541,581531.7803
"153405",Chrysobalanaceae,Hirtella,racemosa,2.3,285604.5785427,581531.6661
"153406",Violaceae,Rinorea,flavescens,4.5,285602.9095708,581530.9602
"153407",Myristicaceae,Iryanthera,hostmannii,1.8,285604.098052,581532.569
"153409",Sapotaceae,Micropholis,guyanensis,6.3,285603.85695895,581534.0661
"153413",Anacardiaceae,Thyrsodium,puberulum,1.9,285604.739010775,581534.95615
"153414",Ochnaceae,Lacunaria,jenmanii,2.1,285605.468246,581534.964
"153415",Annonaceae,Anaxagorea,dolichocarpa,6.9,285605.7662095,581534.32055
"153416",Violaceae,Paypayrola,hulkiana,1.3,285606.2280003,581532.78455
"153417",Annonaceae,Anaxagorea,dolichocarpa,3.3,285606.631232,581532.4862
"153418",Chrysobalanaceae,Licania,alba,1.6,285607.110045,581533.6746
"153425",Cordiaceae,Cordia,nodosa,1.2,285605.9165769,581538.3397
"153441",Sapotaceae,Chrysophyllum,sanguinolentum,1.8,285608.5616096,581530.2368
"153442",Sapindaceae,Talisia,hexaphylla,1.5,285607.1320604,581530.1251
"153443",Myristicaceae,Iryanthera,sagotiana,10,285607.409661075,581530.93985
"153444",Annonaceae,Xylopia,crinita,1.5,285606.852783525,581531.40165
"153445",Calophyllaceae,Caraipa,densifolia,2.8,285607.8018835,581532.41625
"153446",Peraceae,Pogonophora,schomburgkiana,20.05352283,285604.3985949,581528.7886
"153447",Fabaceae,Platymiscium,pinnatum,23.55493158,285606.7059896,581535.0186
"153449",Lecythidaceae,Gustavia,hexapetala,14.00563499,285607.110872,581532.62895
"153487",Chrysobalanaceae,Couepia,guianensis,2.3,285605.1763513,581540.1066
"193166",Chrysobalanaceae,Hymenopus,heteromorphus,2,285525.69856,581438.936
"193167",Fabaceae,Swartzia,panacoco,2.1,285525.873969,581437.31435
"193170",Myristicaceae,Iryanthera,sagotiana,1.1,285526.0277263,581437.1509
"193179",Sapotaceae,Ecclinusa,ramiflora,3.4,285526.46182855,581435.7109
"193180",Chrysobalanaceae,Hirtella,bicornis,1.5,285525.8214212,581434.3694
"193183",Chrysobalanaceae,Hymenopus,heteromorphus,3,285526.3242566,581432.0083
"193188",Fabaceae,Inga,loubryana,26.89718538,285525.88302555,581437.6309
"193189",Chrysobalanaceae,Licania,alba,16.2338042,285525.642301125,581432.53755
"193198",Myristicaceae,Iryanthera,sagotiana,1.2,285524.88634585,581420.49045
"193199",Chrysobalanaceae,Couepia,caryophylloides,2.8,285525.1630622,581421.3052
"193200",Meliaceae,Trichilia,schomburgkii,4,285524.915290425,581420.39445
"193201",Chrysobalanaceae,Couepia,guianensis,1.4,285525.946224375,581423.21235
"193202",Annonaceae,Oxandra,asbeckii,8.4,285524.6710108,581422.9372
"193235",Vochysiaceae,Qualea,rosea,1.2,285525.591625975,581428.54695
"193236",Annonaceae,Guatteria,guianensis,6.3,285525.119504,581429.7664
"193238",Clusiaceae,Tovomita,"sp,2 CAY-ATDN",1.2,285525.21537575,581429.79495
