TreeID,Family,Genus,species,DBH,Xutm,Yutm
"142786",Lecythidaceae,Eschweilera,congestiflora,3.3,285470.05156,581534.7312
"142788",Chrysobalanaceae,Licania,membranacea,1.3,285471.599398625,581533.41325
"142790",Simaroubaceae,Homalolepis,morettii,2.5,285466.4669147,581536.9078
"142792",Annonaceae,Anaxagorea,dolichocarpa,2.4,285470.4501492,581537.5698
"142793",Meliaceae,Guarea,costata,1.5,285470.3541885,581537.54125
"142794",Myrtaceae,Eugenia,exaltata,2.7,285470.52793875,581536.96525
"142795",Annonaceae,Anaxagorea,dolichocarpa,3.7,285470.8555654,581536.2258
"142796",Chrysobalanaceae,Hirtella,racemosa,1.3,285470.37576715,581536.08305
"142797",Simaroubaceae,Homalolepis,cedron,6.5,285471.90203455,581536.2233
"142798",Sapotaceae,Pouteria,gonggrijpii,1.9,285472.4653239,581538.16935
"142799",Vochysiaceae,Qualea,rosea,1.5,285472.24276145,581539.2539
"142803",Clusiaceae,Tovomita,obovata,1.3,285473.14782185,581537.6401
"142804",Vochysiaceae,Qualea,rosea,2.5,285473.6202136,581536.42065
"142805",Sapotaceae,Pouteria,bangii,2,285474.3134759,581535.1623
"142806",Chrysobalanaceae,Hirtella,bicornis,1.4,285474.4764363,581535.3154
"142808",Vochysiaceae,Ruizterania,albiflora,1.9,285472.03943815,581534.3811
"142809",Sapotaceae,Pouteria,gonggrijpii,1.8,285475.2747382,581534.40215
"142811",Vochysiaceae,Qualea,rosea,1.3,285475.803343925,581534.03635
"142812",Myristicaceae,Virola,michelii,2.1,285475.227601775,581533.86505
"142813",Myrtaceae,Eugenia,exaltata,2.6,285474.98855355,581533.27085
"142814",Vochysiaceae,Qualea,rosea,1.6,285474.8454646,581532.7052
"142815",Chrysobalanaceae,Licania,canescens,1.5,285475.59493675,581532.3005
"142816",Fabaceae,Bocoa,prouacensis,1.5,285476.342718875,581532.94145
"142817",Sapotaceae,Pouteria,torta,2.6,285475.98784975,581532.73125
"142822",Fabaceae,Diplotropis,purpurea,41.85775003,285472.8185306,581539.4252
"142823",Annonaceae,Oxandra,asbeckii,15.27887454,285472.1882201,581537.3546
"143085",Annonaceae,Oxandra,asbeckii,4.9,285483.008301675,581530.94935
