TreeID,Family,Genus,species,DBH,Xutm,Yutm
"140990",Myristicaceae,Virola,michelii,1.3,285444.46191,581500.334
"140991",Chrysobalanaceae,Hirtella,bicornis,2,285444.46191,581500.334
"140992",Linaceae,Hebepetalum,humiriifolium,1.1,285444.483946,581498.8758
"140994",Lecythidaceae,Eschweilera,pedicellata,1,285443.8613675,581498.1674
"140995",Fabaceae,Inga,marginata,1.8,285444.1222406,581497.3034
"140996",Sapotaceae,Pradosia,cochlearia,1.5,285443.336786,581496.4419
"140998",Myristicaceae,Iryanthera,hostmannii,1.1,285445.708265,581496.206
"140999",Chrysobalanaceae,Licania,membranacea,1.4,285443.53071625,581495.45335
"141005",Lecythidaceae,Lecythis,persistens,1.4,285444.505226275,581492.91845
"141006",Clusiaceae,Tovomita,obovata,1.5,285444.8399664,581493.5412
"141007",Sapotaceae,Chrysophyllum,sanguinolentum,5,285444.9400249,581491.47845
"141035",Burseraceae,Protium,sagotianum,3.2,285445.9124558,581489.9892
"141036",Myristicaceae,Iryanthera,hostmannii,3.3,285447.1146944,581488.7776
"141037",Lecythidaceae,Lecythis,zabucajo,1.3,285446.521166,581487.9732
"141039",Fabaceae,Inga,capitata,4.2,285447.359690275,581486.23485
"141045",Chrysobalanaceae,Couepia,caryophylloides,6.6,285447.9414898,581483.2692
"141046",Sapindaceae,Cupania,rubiginosa,4.9,285448.978742125,581482.95015
"141054",Myristicaceae,Iryanthera,hostmannii,18.30281846,285449.4093735,581483.60145
"141058",Annonaceae,Oxandra,asbeckii,9.4,285453.717084825,581484.56965
"141059",Melastomataceae,Henriettea,flavescens,5.4,285452.1312294,581485.66705
"141060",Fabaceae,Ormosia,paraencis,5.8,285449.88694075,581484.78985
"141061",Sapindaceae,Cupania,rubiginosa,1.2,285452.704756,581486.884
"141062",Clusiaceae,Tovomita,obovata,1.7,285452.539846825,581487.77655
"141063",Lecythidaceae,Eschweilera,coriacea,3.3,285451.53361505,581486.95395
"141064",Violaceae,Leonia,glycycarpa,1.4,285449.173363,581486.46075
"141065",Myristicaceae,Iryanthera,hostmannii,1.5,285449.12436885,581486.9693
"141066",Clusiaceae,Symphonia,"sp,1",1.1,285450.063652675,581487.66735
"141067",Malvaceae,Catostemma,fragrans,7,285449.189258,581488.1395
"141069",Melastomataceae,Mouriri,huberi,1.2,285449.93261,581490.87175
"141071",Clusiaceae,Garcinia,madruno,2,285451.26174915,581488.54705
"141072",Clusiaceae,Tovomita,obovata,1.5,285452.14511465,581488.39145
"141073",Cordiaceae,Cordia,sagotii,1.8,285453.095423,581488.3604
"141074",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",10.5,285452.6896834,581489.7044
"141076",Melastomataceae,Mouriri,huberi,2,285451.56547315,581490.31145
"141077",Sapindaceae,Talisia,mollis,5.5,285451.94919655,581490.42565
"141078",Clusiaceae,Garcinia,benthamiana,4.5,285452.3198955,581492.3146
"141079",Chrysobalanaceae,Licania,alba,3.9,285452.8705364,581490.4906
"141080",Melastomataceae,Mouriri,huberi,2.7,285453.40815135,581490.44135
"141105",Sapotaceae,Pouteria,gonggrijpii,3.1,285456.193195275,581484.67885
"141106",Clusiaceae,Tovomita,obovata,1.5,285455.577649775,581485.33265
"141107",Annonaceae,Anaxagorea,dolichocarpa,1.7,285455.4327484,581485.81265
"141108",Moraceae,Brosimum,utile,1.4,285455.8005072,581484.2481
"141109",Myristicaceae,Iryanthera,hostmannii,1.2,285455.1269983,581485.0939
"141110",Clusiaceae,Symphonia,"sp,1",1.4,285454.3485725,581485.5946
"141112",Myristicaceae,Iryanthera,hostmannii,2,285454.06774605,581486.87115
"141113",Euphorbiaceae,Conceveiba,guianensis,1.1,285453.5591254,581486.8244
"141114",Clusiaceae,Symphonia,"sp,1",1.6,285453.737946,581488.65625
"141116",Lecythidaceae,Couratari,multiflora,19.09859317,285452.9807044,581483.1996
"141117",Fabaceae,Inga,marginata,24.50986124,285453.695943,581490.527
"141119",Fabaceae,Swartzia,polyphylla,35.01408748,285456.33809515,581484.19885
"141121",Clusiaceae,Symphonia,"sp,1",2.2,285447.2424193,581492.16365
"141122",Sapindaceae,Talisia,hexaphylla,1.1,285447.4142804,581492.6333
"141123",Lecythidaceae,Lecythis,persistens,6.4,285447.6061472,581492.6904
"141124",Fabaceae,Inga,sertulifera,2.1,285448.576501,581492.2468
"141125",Chrysobalanaceae,Couepia,habrantha,1.5,285448.95125035,581492.04445
"141126",Annonaceae,Guatteria,guianensis,1.3,285446.3018492,581497.0104
"141127",Sapotaceae,Micropholis,venulosa,7.2,285445.735211,581497.15565
"141128",Myristicaceae,Virola,michelii,1.2,285446.0030211,581497.65385
"141129",Sapotaceae,Pouteria,singularis,1.5,285446.299817775,581498.05605
