TreeID,Family,Genus,species,DBH,Xutm,Yutm,sondage_N,arbre_plus_proche,topo,depth,DBH_2,Family_2,Genus_2,species_2,Xutm_2,Yutm_2
"140088",Vochysiaceae,Qualea,rosea,1.1,285435.786755575,581494.09045,14.3,"141004","6","120",1.3,Lecythidaceae,Eschweilera,sagotiana,285443.9855292,581493.6008
"140098",Malvaceae,Sterculia,speciosa,23.23662169,285435.142072,581494.84025,14.3,"141004","6","120",1.3,Lecythidaceae,Eschweilera,sagotiana,285443.9855292,581493.6008
"140354",Chrysobalanaceae,Licania,ovalifolia,1.1,285416.271658325,581555.24495,14.9,"140672","3","55",1.2,Peraceae,Pogonophora,schomburgkiana,285421.7260689,581560.73835
"140355",Myristicaceae,Virola,michelii,3.8,285416.454623,581554.9855,14.9,"140672","3","55",1.2,Peraceae,Pogonophora,schomburgkiana,285421.7260689,581560.73835
"140357",Melastomataceae,Mouriri,sagotiana,2.6,285416.77354875,581553.9295,14.9,"140672","3","55",1.2,Peraceae,Pogonophora,schomburgkiana,285421.7260689,581560.73835
"140358",Sapotaceae,Pouteria,guianensis,1.9,285415.23780675,581553.4727,14.9,"140672","3","55",1.2,Peraceae,Pogonophora,schomburgkiana,285421.7260689,581560.73835
"140359",Chrysobalanaceae,Hymenopus,heteromorphus,3,285416.4585888,581552.8942,14.9,"140672","3","55",1.2,Peraceae,Pogonophora,schomburgkiana,285421.7260689,581560.73835
"140383",Peraceae,Chaetocarpus,schomburgkianus,13.20986028,285415.757712175,581552.79035,14.9,"140672","3","55",1.2,Peraceae,Pogonophora,schomburgkiana,285421.7260689,581560.73835
"140418",Annonaceae,Oxandra,asbeckii,1,285412.566382,581564.396,14.9,"140672","3","55",1.2,Peraceae,Pogonophora,schomburgkiana,285421.7260689,581560.73835
"140420",Rubiaceae,Chimarrhis,turbinata,1.4,285413.2673214,581564.49985,14.9,"140672","3","55",1.2,Peraceae,Pogonophora,schomburgkiana,285421.7260689,581560.73835
"140422",Annonaceae,Oxandra,asbeckii,3.1,285414.01723275,581564.09515,14.9,"140672","3","55",1.2,Peraceae,Pogonophora,schomburgkiana,285421.7260689,581560.73835
"140423",Lecythidaceae,Gustavia,hexapetala,9.8,285413.3112179,581561.58345,14.9,"140672","3","55",1.2,Peraceae,Pogonophora,schomburgkiana,285421.7260689,581560.73835
"140424",Bignoniaceae,Jacaranda,copaia,1.4,285413.706155575,581560.96855,14.9,"140672","3","55",1.2,Peraceae,Pogonophora,schomburgkiana,285421.7260689,581560.73835
"140425",Simaroubaceae,Homalolepis,cedron,1.2,285414.5430343,581560.27585,14.9,"140672","3","55",1.2,Peraceae,Pogonophora,schomburgkiana,285421.7260689,581560.73835
"140426",Sapotaceae,Pouteria,singularis,10.3,285414.5269914,581558.5971,14.9,"140672","3","55",1.2,Peraceae,Pogonophora,schomburgkiana,285421.7260689,581560.73835
