fid,TreeID,Family,Genus,species,Xutm,Yutm,arbre_plus_proche,sondage_N,depth_sup,Family_2,Genus_2,species_2,Xutm_2,Yutm_2
"1","140619",Lecythidaceae,Eschweilera,coriacea,285417.196623,581558.7634,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"2","140620",Sapindaceae,Cupania,rubiginosa,285417.455593075,581558.94505,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"3","140621",Fabaceae,Inga,loubryana,285417.5876341,581560.2398,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"4","140623",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",285417.1927175,581560.8547,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"5","140623",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",285417.1927175,581560.8547,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"6","140626",Lecythidaceae,Gustavia,hexapetala,285418.527542675,581560.93785,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"7","140627",Ochnaceae,Lacunaria,jenmanii,285418.681512,581560.7744,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"8","140628",Melastomataceae,Henriettea,flavescens,285417.94065315,581561.49565,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"9","140629",Rubiaceae,Palicourea,quadrifolia,285417.7467352,581562.4842,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"10","140630",Chrysobalanaceae,Hymenopus,heteromorphus,285417.0078081,581562.1598,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"11","140642",Sapindaceae,Talisia,furfuracea,285419.6736347,581564.4174,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"12","140643",Fabaceae,Inga,rubiginosa,285419.9525825,581564.1865,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"13","140644",Myristicaceae,Iryanthera,sagotiana,285420.3365447,581564.3007,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"14","140649",Myristicaceae,Iryanthera,sagotiana,285423.3502702,581565.4063,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
