sondage_N,depth_sup,arbre_plus_proche,topo,DBH,Xutm,Yutm
14.2,70,142097,6,11.4591559,285471.880797125,581503.36705
14.4,73,140838,5,4,285434.102125125,581530.83595
14.7,93,144259,5,1.6,285485.7421145,581578.419
14.8,85,142580,4,8.4,285456.0913184,581569.9136
14.9,55,140672,3,1.2,285421.7260689,581560.73835
15.6,84,153634,5,2.1,285592.9912222,581575.0738
19.1,51,193468,1,1.7,285535.089592,581421.646
19.2,78,191464,3,6.4,285502.000674,581410.1175
19.6,62,193668,1,2,285524.3897194,581452.9834
19.8,75,191868,4,1.6,285485.4655275,581473.9318
20.2,47,203517,3,1.6,285601.305757,581438.855925
20.3,60,201381,3,1.9,285565.376524175,581428.25995
20.6,46,204713,3,1.2,285626.1564335,581472.4059
20.7,42,204918,4,2.1,285614.36935775,581514.3943
20.8,70,203215,3,1.1,285579.35406656,581505.0384
20.9,40,200797,3,1.1,285549.49909945,581494.5094
