TreeID,Family,Genus,species,DBH,Xutm,Yutm
"140835",Sapotaceae,Micropholis,guyanensis,10,285433.2737,581537.39
"140836",Melastomataceae,Mouriri,crassifolia,1.1,285432.4879295,581536.5285
"140837",Chrysobalanaceae,Leptobalanus,sprucei,3.2,285433.1835875,581534.2245
"140863",Myristicaceae,Iryanthera,hostmannii,1.4,285435.5744859,581529.0769
"140866",Myristicaceae,Iryanthera,hostmannii,1.8,285436.491035,581526.734
"140867",Simaroubaceae,Homalolepis,cedron,1.3,285435.29954725,581527.2165
"140868",Myristicaceae,Iryanthera,sagotiana,1.1,285436.742895725,581525.55345
"140869",Fabaceae,Tachigali,melinonii,1.8,285435.83029315,581525.80505
"140871",Lecythidaceae,Lecythis,persistens,1.2,285436.87881765,581524.7569
"140873",Sapotaceae,Pouteria,cicatricata,1.4,285436.467978,581523.69305
"140879",Cordiaceae,Cordia,sprucei,1.4,285437.402532125,581521.98325
"140880",Myrtaceae,Eugenia,exaltata,2.8,285436.5569207,581522.3594
"140882",Fabaceae,Inga,pezizifera,2.4,285438.0781947,581520.0918
"140887",Chrysobalanaceae,Hymenopus,heteromorphus,16.07464925,285435.45150675,581528.0987
"140888",Rubiaceae,Posoqueria,latifolia,21.32676237,285436.4479936,581524.1056
"140889",Fabaceae,Inga,alba,12.73239545,285436.6728643,581521.9754
"140890",Lecythidaceae,Gustavia,hexapetala,16.55211408,285437.067678,581521.3605
"141181",Sapindaceae,Talisia,sylvatica,1,285448.5585364,581511.7016
"141183",Clusiaceae,Tovomita,"sp,2 CAY-ATDN",1,285450.747287875,581511.72515
"141185",Lecythidaceae,Lecythis,persistens,2,285450.56635065,581510.93895
"141213",Sapotaceae,Pouteria,guianensis,1.8,285441.382588125,581519.19175
"141215",Anacardiaceae,Tapirira,guianensis,6,285443.943187425,581515.55945
"141216",Meliaceae,Guarea,costata,1.2,285442.29906995,581516.84885
"141218",Lecythidaceae,Lecythis,persistens,2,285441.18365225,581517.77245
"141219",Burseraceae,Protium,opacum,8.9,285441.2576512,581519.2592
"141221",Meliaceae,Guarea,costata,1.1,285441.706473,581520.5436
"141222",Lecythidaceae,Lecythis,zabucajo,1.9,285442.512100775,581520.99255
"141223",Myristicaceae,Iryanthera,hostmannii,1.1,285442.67502855,581521.14565
"141224",Sapotaceae,Pouteria,cicatricata,1,285445.01787625,581521.00575
"141225",Cordiaceae,Cordia,sagotii,2.8,285445.01787625,581521.00575
"141226",Rubiaceae,Margaritopsis,kappleri,2,285446.12425,581519.7656
"141226",Rubiaceae,Margaritopsis,kappleri,1.7,285446.12425,581519.7656
"141227",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",1.2,285445.66445145,581519.2103
"141229",Myristicaceae,Iryanthera,sagotiana,4.4,285446.43207405,581519.4387
"141230",Myristicaceae,Iryanthera,hostmannii,1.3,285446.6239797,581519.4958
"141232",Myristicaceae,Iryanthera,hostmannii,1.1,285447.9164613,581521.4497
"141233",Lauraceae,Rhodostemonodaphne,morii,1,285447.795374675,581519.42585
"141234",Sapindaceae,Cupania,rubiginosa,1.5,285447.6524106,581518.8602
"141235",Sapotaceae,Ecclinusa,ramiflora,3.2,285447.902272,581518.7253
"141236",Chrysobalanaceae,Licania,canescens,2,285448.75682185,581518.6657
"141237",Annonaceae,Anaxagorea,dolichocarpa,1.6,285447.9132189,581517.9962
"141238",Chrysobalanaceae,Licania,alba,0.9,285446.6787532,581515.8503
"141239",Chrysobalanaceae,Licania,ovalifolia,2.6,285446.495862625,581516.10975
"141240",Meliaceae,Guarea,pubescens,1.6,285449.21145255,581516.81315
"141241",Annonaceae,Fusaea,longifolia,2,285449.296459,581517.5708
"141242",Annonaceae,Anaxagorea,dolichocarpa,1.5,285446.8906233,581515.49485
"141243",Lecythidaceae,Eschweilera,sagotiana,7.2,285447.0825231,581515.55195
"141244",Annonaceae,Anaxagorea,dolichocarpa,0.9,285449.213384,581515.7675
"141245",Annonaceae,Anaxagorea,dolichocarpa,1.1,285449.0214848,581515.7104
"141246",Chrysobalanaceae,Leptobalanus,sprucei,0.9,285448.6376864,581515.5962
"141247",Chrysobalanaceae,Leptobalanus,sprucei,2.6,285449.4271824,581514.3664
"141249",Fabaceae,Inga,loubryana,2.2,285446.1249824,581514.2208
"141253",Lecythidaceae,Lecythis,persistens,1.6,285444.73076765,581515.3753
"141254",Clusiaceae,Tovomita,"sp,2 CAY-ATDN",2.5,285445.4294432,581516.5248
"141259",Fabaceae,Bocoa,prouacensis,31.67183368,285441.654413075,581517.59865
"141260",Apocynaceae,Rauvolfia,paraensis,18.78028328,285446.6787532,581515.8503
"141261",Fabaceae,Tachigali,melinonii,18.4619734,285448.501807,581516.39275
"141262",Siparunaceae,Siparuna,decipiens,15.43802948,285443.60637515,581515.98235
"141263",Myristicaceae,Iryanthera,sagotiana,3.2,285440.84091475,581521.3323
"141264",Chrysobalanaceae,Couepia,habrantha,3.6,285441.7334955,581521.49325
"141265",Burseraceae,Protium,subserratum,4,285439.33263865,581521.82515
"141266",Chrysobalanaceae,Licania,membranacea,1.4,285438.362097875,581522.26875
"141267",Apocynaceae,Couma,guianensis,4,285438.78391225,581522.6035
"141268",Lecythidaceae,Lecythis,persistens,1.5,285438.86889425,581523.36115
"141269",Burseraceae,Protium,apiculatum,4.6,285439.8864333,581523.45465
"141270",Vochysiaceae,Qualea,rosea,2.2,285441.682585575,581523.04745
"141271",Sapotaceae,Pouteria,guianensis,1.1,285441.526715325,581524.25655
