sondage_N,arbre_plus_proche,topo,depth,DBH,Family,Genus,species,Xutm,Yutm
14.1,143932,5,120,1.1,Ochnaceae,Quiina,obovata,285505.066768,581518.4736
14.2,142097,6,70,11.4591559,Meliaceae,Carapa,surinamensis,285471.880797125,581503.36705
14.3,141004,6,120,1.3,Lecythidaceae,Eschweilera,sagotiana,285443.9855292,581493.6008
14.4,140838,5,73,4,Fabaceae,Bocoa,prouacensis,285434.102125125,581530.83595
14.5,142208,5,120,1.2,Malvaceae,Eriotheca,longitubulosa,285463.644259075,581536.90495
14.6,144115,6,120,31.35352379,Euphorbiaceae,Conceveiba,guianensis,285502.66112295,581549.3499
14.7,144259,5,93,1.6,Peraceae,Pogonophora,schomburgkiana,285485.7421145,581578.419
14.8,142580,4,85,8.4,Clusiaceae,Symphonia,"sp,1",285456.0913184,581569.9136
14.9,140672,3,55,1.2,Peraceae,Pogonophora,schomburgkiana,285421.7260689,581560.73835
15.3,150693,4,120,2.2,Clusiaceae,Symphonia,"sp,1",285540.068895575,581526.16995
15.4,150598,6,120,1,Melastomataceae,Henriettea,flavescens,285530.0115995,581556.441
15.6,153634,5,84,2.1,Sapotaceae,Pouteria,bangii,285592.9912222,581575.0738
15.8,152155,6,120,1.9,Melastomataceae,Mouriri,huberi,285552.067137325,581600.23835
15.9,150477,5,120,1,Sapotaceae,Pouteria,guianensis,285520.38291675,581589.45465
19.1,193468,1,51,1.7,Clusiaceae,Tovomita,obovata,285535.089592,581421.646
19.2,191464,3,78,6.4,Rubiaceae,Duroia,aquatica,285502.000674,581410.1175
19.3,190658,6,120,14.00563499,Lecythidaceae,Eschweilera,grandiflora,285469.737465,581398.6254
19.4,190511,5,120,1.1,Cordiaceae,Cordia,nodosa,285461.208322847,581434.83085
19.6,193668,1,62,2,Rubiaceae,Duroia,genipoides,285524.3897194,581452.9834
19.8,191868,4,75,1.6,Vochysiaceae,Qualea,rosea,285485.4655275,581473.9318
19.9,190432,5,120,5.9,Ochnaceae,Lacunaria,crenata,285452.3669805,581463.7655
20.1,205483,4,120,17.66619868,Peraceae,Pogonophora,schomburgkiana,285638.2801236,581449.4494
20.2,203517,3,47,1.6,Lecythidaceae,Lecythis,persistens,285601.305757,581438.855925
20.3,201381,3,60,1.9,Sapotaceae,Pouteria,singularis,285565.376524175,581428.25995
20.4,201147,1,120,1.4,Vochysiaceae,Ruizterania,albiflora,285557.01209981,581460.5415
20.6,204713,3,46,1.2,Vochysiaceae,Qualea,rosea,285626.1564335,581472.4059
20.7,204918,4,42,2.1,Melastomataceae,Mouriri,sagotiana,285614.36935775,581514.3943
20.8,203215,3,70,1.1,Annonaceae,Oxandra,asbeckii,285579.35406656,581505.0384
20.9,200797,3,40,1.1,Myristicaceae,Iryanthera,hostmannii,285549.49909945,581494.5094
