TreeID,Family,Genus,species,DBH,Xutm,Yutm,arbre_plus_proche,sondage_N,depth_sup,Family_2,Genus_2,species_2,Xutm_2,Yutm_2
"140354",Chrysobalanaceae,Licania,ovalifolia,1.1,285416.271658325,581555.24495,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140355",Myristicaceae,Virola,michelii,3.8,285416.454623,581554.9855,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140357",Melastomataceae,Mouriri,sagotiana,2.6,285416.77354875,581553.9295,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140358",Sapotaceae,Pouteria,guianensis,1.9,285415.23780675,581553.4727,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140359",Chrysobalanaceae,Hymenopus,heteromorphus,3,285416.4585888,581552.8942,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140383",Peraceae,Chaetocarpus,schomburgkianus,13.20986028,285415.757712175,581552.79035,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140418",Annonaceae,Oxandra,asbeckii,1,285412.566382,581564.396,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140420",Rubiaceae,Chimarrhis,turbinata,1.4,285413.2673214,581564.49985,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140422",Annonaceae,Oxandra,asbeckii,3.1,285414.01723275,581564.09515,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140423",Lecythidaceae,Gustavia,hexapetala,9.8,285413.3112179,581561.58345,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140424",Bignoniaceae,Jacaranda,copaia,1.4,285413.706155575,581560.96855,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140425",Simaroubaceae,Homalolepis,cedron,1.2,285414.5430343,581560.27585,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140426",Sapotaceae,Pouteria,singularis,10.3,285414.5269914,581558.5971,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140427",Sapindaceae,Cupania,rubiginosa,1.8,285414.55598525,581558.5011,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140428",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",2.7,285412.8861984,581557.7952,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140430",Rubiaceae,Chimarrhis,turbinata,4,285412.203292,581558.32445,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140436",Fabaceae,Bocoa,prouacensis,1.2,285414.9709044,581557.47365,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140437",Lecythidaceae,Eschweilera,congestiflora,3.6,285414.481966275,581557.01435,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140438",Menispermaceae,Abuta,grandifolia,1.7,285413.9660259,581555.6054,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140439",Fabaceae,Tachigali,melinonii,1,285413.138154225,581556.61465,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140440",Myristicaceae,Iryanthera,sagotiana,1.6,285412.8591948,581556.84555,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140535",Sapotaceae,Pouteria,torta,1,285415.042205525,581565.55085,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140536",Violaceae,Leonia,glycycarpa,1.1,285416.43313285,581566.48765,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140537",Vochysiaceae,Ruizterania,albiflora,2.8,285416.1631948,581567.0351,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140546",Burseraceae,Protium,subserratum,1.1,285414.5332503,581565.5041,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140585",Vochysiaceae,Qualea,rosea,1.4,285421.910004225,581570.52285,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140586",Meliaceae,Guarea,costata,1,285423.563725,581569.55,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140587",Sapotaceae,Pouteria,singularis,2.6,285422.77770325,581568.6885,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140588",Annonaceae,Oxandra,asbeckii,9,285423.679665,581569.166,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140589",Burseraceae,Protium,sagotianum,5.1,285422.83567475,581568.4965,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140591",Vochysiaceae,Qualea,rosea,3.1,285421.72892945,581569.73665,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
