arbre_plus,sondage_N,Texture_20,final_text,texture,depth_sup,topo,Silt_class,Family,Genus,species,DBH,Xutm,Yutm,augerpoint,Slope
"140672",14.900000000000000,S,S,SL,"55","3",intermediate,Peraceae,Pogonophora,schomburgkiana,1.200000000000000,285421.726068900024984,581560.738349999999627,14.9,Basdepente
"140838",14.400000000000000,SL,SL,SL,"73","5",intermediate,Fabaceae,Bocoa,prouacensis,4.000000000000000,285434.102125125005841,581530.835949999978766,14.4,Basdepente
"141004",14.300000000000001,NA,SL,SL,"100","6",intermediate,Lecythidaceae,Eschweilera,sagotiana,1.300000000000000,285443.985529199999291,581493.600800000014715,14.3,Basdepente
"142097",14.199999999999999,SL,SL,SL,"70","6",intermediate,Meliaceae,Carapa,surinamensis,11.459155900000001,285471.880797124991659,581503.367050000000745,14.2,Basdepente
"142208",14.500000000000000,NA,SL,SL,"100","5",intermediate,Malvaceae,Eriotheca,longitubulosa,1.200000000000000,285463.644259074993897,581536.904949999996461,14.5,Basdepente
"142580",14.800000000000001,SL,SL,SA,"85","4",intermediate,Clusiaceae,Symphonia,"sp,1",8.400000000000000,285456.091318399994634,581569.913599999970756,14.8,Basdepente
"143932",14.100000000000000,SL,SL,SL,"100","5",intermediate,Ochnaceae,Quiina,obovata,1.100000000000000,285505.066768000018783,581518.473600000026636,14.1,Basdepente
"144115",14.600000000000000,NA,SL,SL,"100","6",intermediate,Euphorbiaceae,Conceveiba,guianensis,31.353523790000001,285502.661122950026765,581549.349900000030175,14.6,Basfond
"144259",14.699999999999999,SL,SL,SL,"93","5",intermediate,Peraceae,Pogonophora,schomburgkiana,1.600000000000000,285485.742114500026219,581578.418999999994412,14.7,Basdepente
"150477",15.900000000000000,NA,S,S,"100","5",intermediate,Sapotaceae,Pouteria,guianensis,1.000000000000000,285520.382916749978904,581589.454649999970570,15.9,Basdepente
"150598",15.400000000000000,NA,SL,SL,"100","6",intermediate,Melastomataceae,Henriettea,flavescens,1.000000000000000,285530.011599500023294,581556.440999999991618,15.4,Basfond
"150693",15.300000000000001,SL,SL,"Lls, Lms et LS","100","4",intermediate,Clusiaceae,Symphonia,"sp,1",2.200000000000000,285540.068895575008355,581526.169950000010431,15.3,Basdepente
"152155",15.800000000000001,NA,SL,SL,"100","6",intermediate,Melastomataceae,Mouriri,huberi,1.900000000000000,285552.067137325007934,581600.238349999999627,15.8,Basfond
"152267",15.500000000000000,NA,NA,"Lls, Lms et LS",,"5",NA,Annonaceae,Oxandra,asbeckii,2.300000000000000,285560.368722599989269,581570.911599999992177,15.5,Basdepente
"152453",15.199999999999999,NA,NA,"Lls, Lms et LS",,"4",NA,Malvaceae,Eriotheca,globosa,1.300000000000000,285573.227246200025547,581533.736400000052527,15.2,Basdepente
"153460",15.100000000000000,NA,NA,"Lls, Lms et LS",,"5",NA,Chrysobalanaceae,Couepia,habrantha,1.900000000000000,285602.534481699985918,581544.026900000055321,15.1,Basdepente
"153634",15.600000000000000,S,S,SL,"84","5",intermediate,Sapotaceae,Pouteria,bangii,2.100000000000000,285592.991222199983895,581575.073800000012852,15.6,Basdepente
"153843",15.699999999999999,NA,NA,"Lls, Lms et LS",,"6",NA,Fabaceae,Swartzia,guianensis,3.000000000000000,285583.897614624991547,581608.450749999959953,15.7,Basfond
"190432",19.899999999999999,NA,SL,SL,"100","5",intermediate,Ochnaceae,Lacunaria,crenata,5.900000000000000,285452.366980499995407,581463.765499999979511,19.9,Basdepente
"190511",19.399999999999999,S,S,SL,"100","5",intermediate,Cordiaceae,Cordia,nodosa,1.100000000000000,285461.208322846970987,581434.830850000027567,19.4,Basdepente
"190658",19.300000000000001,S,S,S,"100","6",intermediate,Lecythidaceae,Eschweilera,grandiflora,14.005634990000001,285469.737465000012890,581398.625400000018999,19.3,Basdepente
"191464",19.199999999999999,SL,SL,SL,"78","3",intermediate,Rubiaceae,Duroia,aquatica,6.400000000000000,285502.000674000009894,581410.117500000051223,19.2,Basdepente
"191868",19.800000000000001,SL,SL,SL,"75","4",intermediate,Vochysiaceae,Qualea,rosea,1.600000000000000,285485.465527500025928,581473.931800000020303,19.8,Pente
"192086",19.500000000000000,NA,NA,SA,,"3",NA,Chrysobalanaceae,Hirtella,bicornis,2.000000000000000,285498.988269100023899,581445.734199999948032,19.5,Pente
"193468",19.100000000000001,SL,SL,SA,"51","1",intermediate,Clusiaceae,Tovomita,obovata,1.700000000000000,285535.089592000003904,581421.645999999949709,19.1,Plateau
"193668",19.600000000000001,SL,SL,SA,"62","1",intermediate,Rubiaceae,Duroia,genipoides,2.000000000000000,285524.389719399972819,581452.983400000026450,19.6,Plateau
"193808",19.699999999999999,NA,NA,LA à AL,,"3",NA,Clusiaceae,Symphonia,"sp,1",1.200000000000000,285515.978815875016153,581486.780750000034459,19.7,Pente
"200797",20.899999999999999,SL,SL,SL,"0","3",intermediate,Myristicaceae,Iryanthera,hostmannii,1.100000000000000,285549.499099450011272,581494.509399999980815,20.9,
"201147",20.399999999999999,SL,SL,"Lls, Lms et LS","100","1",intermediate,Vochysiaceae,Ruizterania,albiflora,1.400000000000000,285557.012099810002837,581460.541500000050291,20.4,Plateau
"201381",20.300000000000001,SL,SL,LSA à LAS,"60","3",intermediate,Sapotaceae,Pouteria,singularis,1.900000000000000,285565.376524174993392,581428.259949999977835,20.3,Pente
"202741",20.500000000000000,NA,NA,SA,,"1",NA,Chrysobalanaceae,Couepia,caryophylloides,8.800000000000002,285589.301350552996155,581467.467249999986961,20.5,Plateau
"203215",20.800000000000001,SL,SL,SL,"70","3",intermediate,Annonaceae,Oxandra,asbeckii,1.100000000000000,285579.354066559986677,581505.038399999961257,20.8,Pente
"203517",20.199999999999999,SL,SL,SL,"47","3",intermediate,Lecythidaceae,Lecythis,persistens,1.600000000000000,285601.305756999994628,581438.855925000039861,20.2,Pente
"204713",20.600000000000001,SL,SL,"Lls, Lms et LS","46","3",intermediate,Vochysiaceae,Qualea,rosea,1.200000000000000,285626.156433500000276,581472.405900000012480,20.6,Pente
"204918",20.699999999999999,S,S,SL,"42","4",intermediate,Melastomataceae,Mouriri,sagotiana,2.100000000000000,285614.369357749994379,581514.394300000043586,20.7,Basdepente
"205483",20.100000000000001,SL,SL,SA,"100","4",intermediate,Peraceae,Pogonophora,schomburgkiana,17.666198680000001,285638.280123599979561,581449.449400000041351,20.1,Basdepente
