TreeID,Family,Genus,species,DBH,Xutm,Yutm
"140966",Bignoniaceae,Jacaranda,copaia,1.3,285441.9891943,581508.17745
"141081",Annonaceae,Anaxagorea,dolichocarpa,4.1,285456.0722324,581492.69895
"141082",Annonaceae,Anaxagorea,dolichocarpa,2.1,285456.426980775,581492.90915
"141083",Meliaceae,Guarea,costata,1.6,285456.74177265,581493.94445
"141084",Lecythidaceae,Lecythis,persistens,2.2,285457.6780525,581491.189
"141085",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",1.1,285455.5765816,581490.87745
"141086",Myristicaceae,Iryanthera,sagotiana,2.5,285457.996805,581490.133
"141087",Annonaceae,Anaxagorea,dolichocarpa,2.4,285458.112715,581489.749
"141088",Lecythidaceae,Eschweilera,pedicellata,2.9,285455.4646716,581489.17015
"141089",Annonaceae,Anaxagorea,dolichocarpa,1,285457.2313654,581488.85895
"141090",Annonaceae,Anaxagorea,dolichocarpa,1.9,285458.2216214,581488.0028
"141091",Clusiaceae,Symphonia,"sp,1",1.5,285456.9545733,581488.0442
"141092",Annonaceae,Anaxagorea,dolichocarpa,1.1,285458.58734285,581487.4839
"141093",Chrysobalanaceae,Licania,membranacea,1.9,285458.64529815,581487.2919
"141094",Annonaceae,Anaxagorea,dolichocarpa,2.7,285457.090475425,581487.24765
"141095",Vochysiaceae,Qualea,rosea,2,285456.898620475,581487.19055
"141096",Sapotaceae,Pouteria,"cf,speciosa",1,285458.56036175,581486.53425
"141097",Annonaceae,Anaxagorea,dolichocarpa,2.4,285458.6562884,581486.5628
"141098",Vochysiaceae,Ruizterania,albiflora,2,285457.79294855,581486.30585
"141099",Bignoniaceae,Jacaranda,copaia,3.7,285457.803945625,581485.57675
"141100",Polygonaceae,Coccoloba,mollis,1.2,285457.295336,581485.53
"141101",Myristicaceae,Iryanthera,sagotiana,2.7,285459.2538288,581485.2759
"141102",Malvaceae,Eriotheca,longitubulosa,1.7,285459.2738141,581484.86335
"141103",Annonaceae,Anaxagorea,dolichocarpa,1.5,285457.5091917,581484.1289
"141104",Myristicaceae,Virola,michelii,1.2,285457.518179625,581484.44545
"141111",Gentianaceae,Potalia,amara,1.4,285456.073241625,581487.15415
"141118",Sapotaceae,Pouteria,fimbriata,14.96056465,285458.379502375,581485.74805
"141140",Sapotaceae,Pouteria,singularis,2.6,285451.04972185,581498.94645
"141141",Clusiaceae,Tovomita,obovata,0.9,285452.1050305,581499.2605
"141142",Fabaceae,Vouacapoua,americana,1.2,285452.7816405,581501.8682
"141143",Clusiaceae,Tovomita,"sp,9 CAY-ATDN",2,285453.88395725,581502.71935
"141144",Annonaceae,Anaxagorea,dolichocarpa,3.7,285455.3348165,581496.8737
"141145",Chrysobalanaceae,Licania,canescens,3,285456.4719744,581494.4919
"141146",Annonaceae,Anaxagorea,dolichocarpa,1.4,285454.81914725,581495.46475
"141148",Lecythidaceae,Lecythis,zabucajo,1.5,285454.033685,581494.60325
"141149",Fabaceae,Ormosia,paraensis,4.9,285454.848125875,581495.36875
"141171",Anacardiaceae,Thyrsodium,puberulum,1.4,285444.951517,581505.29245
"141172",Vochysiaceae,Qualea,rosea,2.7,285443.9141245,581505.6115
"141173",Fabaceae,Diplotropis,purpurea,1.2,285445.659097,581506.7585
"141174",Sapotaceae,Pouteria,bangii,3.8,285444.12198905,581507.34735
"141175",Melastomataceae,Mouriri,sagotiana,1.1,285444.12198905,581507.34735
"141176",Rubiaceae,Psychotria,nitida,1.2,285443.535322275,581507.90515
"141177",Myristicaceae,Iryanthera,sagotiana,2.2,285443.071577875,581509.44115
"141178",Vochysiaceae,Ruizterania,albiflora,1.5,285444.83158,581507.76775
"141179",Myristicaceae,Iryanthera,hostmannii,2.2,285444.945517,581508.4294
"141179",Myristicaceae,Iryanthera,hostmannii,3.8,285444.945517,581508.4294
"141180",Myristicaceae,Iryanthera,sagotiana,1.4,285445.6311696,581511.35365
"141182",Fabaceae,Abarema,jupunba,9.5,285447.87480775,581507.7317
"141186",Annonaceae,Anaxagorea,dolichocarpa,4,285451.6365969,581508.4326
"141187",Annonaceae,Duguetia,calycina,8,285452.5780125,581508.085
"141188",Myristicaceae,Compsoneura,ulei,1,285450.15044875,581507.46725
"141189",Annonaceae,Anaxagorea,dolichocarpa,2.8,285450.455160225,581503.68685
"141190",Chrysobalanaceae,Licania,alba,2.6,285452.83566525,581503.7675
"141191",Sapotaceae,Chrysophyllum,sanguinolentum,10.5,285450.81192,581502.8514
"141192",Clusiaceae,Garcinia,madruno,4.2,285450.3412194,581503.0252
"141193",Annonaceae,Anaxagorea,dolichocarpa,5.5,285448.518355125,581502.48275
